Info 0    [18:53:49.737] Starting TS Server
Info 38   [18:53:58.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 30.66725599952042ms
Info 39   [18:53:58.804] Different program with same set of files
Info 40   [18:53:59.764] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [18:53:59.798] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 32.760669000446796ms
Info 42   [18:53:59.798] Different program with same set of files
Info 43   [18:54:08.951] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [18:54:08.982] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 30.503690999932587ms
Info 45   [18:54:08.982] Different program with same set of files
Info 46   [18:54:09.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [18:54:09.853] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 29.921129000373185ms
Info 48   [18:54:09.853] Different program with same set of files
Info 49   [18:54:10.402] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [18:54:10.432] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 29.3131439993158ms
Info 51   [18:54:10.433] Different program with same set of files
Info 52   [18:54:10.684] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [18:54:10.714] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 29.457649999298155ms
Info 54   [18:54:10.714] Different program with same set of files
Info 55   [18:54:11.480] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [18:54:11.510] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 29.491665000095963ms
Info 57   [18:54:11.510] Different program with same set of files
Info 58   [18:54:12.172] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [18:54:12.208] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 35.26351099926978ms
Info 60   [18:54:12.208] Different program with same set of files
Info 61   [18:54:51.888] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [18:54:51.946] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 57.89939699973911ms
Info 63   [18:54:51.947] Different program with same set of files
Info 64   [18:54:58.918] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [18:54:58.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 39.961965000256896ms
Info 66   [18:54:58.958] Different program with same set of files
Info 67   [18:55:33.198] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [18:55:33.243] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 45.02466499991715ms
Info 69   [18:55:33.244] Different program with same set of files
Info 70   [18:55:33.881] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [18:55:33.910] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 29.396475999616086ms
Info 72   [18:55:33.911] Different program with same set of files
Info 73   [18:56:32.470] getCompletionData: Get current token: 0.02095200028270483
Info 74   [18:56:32.470] getCompletionData: Is inside comment: 0.0819230005145073
Info 75   [18:56:32.471] getCompletionData: Get previous token: 0.16636099945753813
Info 76   [18:56:32.472] getCompletionsAtPosition: isCompletionListBlocker: 0.435457999818027
Info 77   [18:56:32.479] getExportInfoMap: cache miss or empty; calculating new results
Info 78   [18:56:32.604] forEachExternalModuleToImportFrom autoImportProvider: 90.5874819997698
Info 79   [18:56:32.604] getExportInfoMap: done in 125.90758500061929 ms
Info 80   [18:56:32.622] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 81   [18:56:32.623] collectAutoImports: response is complete
Info 82   [18:56:32.623] collectAutoImports: 17.310218999162316
Info 83   [18:56:32.623] getCompletionData: Semantic work: 150.85190800018609
Info 84   [18:56:32.645] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20.67264200001955
Info 85   [18:56:34.433] Format host information updated
Info 86   [18:56:34.433] Format host information updated
Info 87   [18:56:34.434] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [18:56:34.480] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 45.79389199987054ms
Info 89   [18:56:34.481] Different program with same set of files
Info 90   [18:56:34.482] getCompletionData: Get current token: 0.043371000327169895
Info 91   [18:56:34.482] getCompletionData: Is inside comment: 0.01368900015950203
Info 92   [18:56:34.482] getCompletionData: Get previous token: 0.128647000528872
Info 93   [18:56:34.482] getCompletionsAtPosition: isCompletionListBlocker: 0.030938999727368355
Info 94   [18:56:34.486] getCompletionData: Semantic work: 3.7710640002042055
Info 95   [18:56:34.540] getCompletionData: Get current token: 0.031008999794721603
Info 96   [18:56:34.540] getCompletionData: Is inside comment: 0.02814600057899952
Info 97   [18:56:34.541] getCompletionData: Get previous token: 0.15022800024598837
Info 98   [18:56:34.541] getCompletionsAtPosition: isCompletionListBlocker: 0.03498999960720539
Info 99   [18:56:34.546] getCompletionData: Semantic work: 3.8503339998424053
Info 100  [18:56:36.509] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [18:56:36.543] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 33.3092719996348ms
Info 102  [18:56:36.543] Different program with same set of files
Info 103  [18:56:55.667] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [18:56:55.706] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 38.4140269998461ms
Info 105  [18:56:55.706] Different program with same set of files
Info 106  [18:57:01.156] getCompletionData: Get current token: 0.03268499951809645
Info 107  [18:57:01.156] getCompletionData: Is inside comment: 0.08862900082021952
Info 108  [18:57:01.156] getCompletionData: Get previous token: 0.09240000043064356
Info 109  [18:57:01.157] getCompletionsAtPosition: isCompletionListBlocker: 0.012850000523030758
Info 110  [18:57:01.159] getCompletionData: Semantic work: 1.9793039998039603
Info 111  [18:57:01.160] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.3649209998548031
Info 112  [18:57:03.214] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 113  [18:57:03.264] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 49.68417499959469ms
Info 114  [18:57:03.265] Different program with same set of files
Info 115  [18:57:03.266] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 116  [18:57:03.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 35.545905999839306ms
Info 117  [18:57:03.302] Different program with same set of files
Info 118  [18:57:04.516] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 119  [18:57:04.547] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 30.621676000766456ms
Info 120  [18:57:04.548] Different program with same set of files
Info 121  [18:57:05.601] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 122  [18:57:05.634] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 32.486936000175774ms
Info 123  [18:57:05.634] Different program with same set of files
Info 124  [18:57:05.916] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 125  [18:57:05.955] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 38.42876200005412ms
Info 126  [18:57:05.955] Different program with same set of files
Info 127  [18:57:05.956] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [18:57:05.980] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 23.731267999857664ms
Info 129  [18:57:05.980] Different program with same set of files
Info 130  [18:57:06.513] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 131  [18:57:06.543] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 29.984452999196947ms
Info 132  [18:57:06.544] Different program with same set of files
Info 133  [18:57:06.878] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 134  [18:57:06.908] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 30.116523999720812ms
Info 135  [18:57:06.908] Different program with same set of files
Info 136  [18:57:11.992] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 137  [18:57:12.030] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 37.69029999990016ms
Info 138  [18:57:12.030] Different program with same set of files
Info 139  [18:57:12.857] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 140  [18:57:12.888] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 29.980850999243557ms
Info 141  [18:57:12.888] Different program with same set of files
Info 142  [18:57:13.593] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 143  [18:57:13.628] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 34.937297000549734ms
Info 144  [18:57:13.629] Different program with same set of files
Info 145  [18:57:14.124] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 146  [18:57:14.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 32.82012700010091ms
Info 147  [18:57:14.157] Different program with same set of files
Info 148  [18:57:14.980] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 149  [18:57:15.012] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 32.2934530004859ms
Info 150  [18:57:15.013] Different program with same set of files
Info 151  [18:57:15.975] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [18:57:16.011] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 35.61428200080991ms
Info 153  [18:57:16.011] Different program with same set of files
Info 154  [18:57:16.012] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [18:57:16.042] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 30.59121499955654ms
Info 156  [18:57:16.043] Different program with same set of files
Info 157  [18:57:16.550] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 158  [18:57:16.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 33.3771240003407ms
Info 159  [18:57:16.585] Different program with same set of files
Info 160  [18:57:21.317] getCompletionData: Get current token: 0.03911199979484081
Info 161  [18:57:21.317] getCompletionData: Is inside comment: 0.08429899998009205
Info 162  [18:57:21.318] getCompletionData: Get previous token: 0.1493910001590848
Info 163  [18:57:21.319] getCompletionsAtPosition: isCompletionListBlocker: 0.38419799972325563
Info 164  [18:57:21.327] getExportInfoMap: cache hit
Info 165  [18:57:21.335] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 166  [18:57:21.335] collectAutoImports: response is complete
Info 167  [18:57:21.335] collectAutoImports: 6.722111999988556
Info 168  [18:57:21.335] getCompletionData: Semantic work: 16.026895000599325
Info 169  [18:57:21.349] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.527195000089705
Info 170  [18:57:22.703] Format host information updated
Info 171  [18:57:22.703] Format host information updated
Info 172  [18:57:22.704] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 173  [18:57:22.737] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 32.444908999837935ms
Info 174  [18:57:22.737] Different program with same set of files
Info 175  [18:57:22.738] getCompletionData: Get current token: 0.04197499994188547
Info 176  [18:57:22.738] getCompletionData: Is inside comment: 0.03911100048571825
Info 177  [18:57:22.739] getCompletionData: Get previous token: 0.18962000031024218
Info 178  [18:57:22.739] getCompletionsAtPosition: isCompletionListBlocker: 0.02381599973887205
Info 179  [18:57:22.742] getCompletionData: Semantic work: 2.8688830006867647
Info 180  [18:57:22.793] getCompletionData: Get current token: 0.06648899987339973
Info 181  [18:57:22.793] getCompletionData: Is inside comment: 0.02772699948400259
Info 182  [18:57:22.793] getCompletionData: Get previous token: 0.13193100038915873
Info 183  [18:57:22.794] getCompletionsAtPosition: isCompletionListBlocker: 0.022278999909758568
Info 184  [18:57:22.797] getCompletionData: Semantic work: 3.025258000008762
Info 185  [18:57:23.503] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [18:57:23.540] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 36.465414999984205ms
Info 187  [18:57:23.541] Different program with same set of files
Info 188  [18:57:24.559] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [18:57:24.592] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 33.24376699980348ms
Info 190  [18:57:24.593] Different program with same set of files
Info 191  [18:57:25.235] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [18:57:25.276] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 40.73491399921477ms
Info 193  [18:57:25.277] Different program with same set of files
Info 194  [18:57:26.043] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [18:57:26.081] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 37.52548799943179ms
Info 196  [18:57:26.081] Different program with same set of files
Info 197  [18:57:26.082] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [18:57:26.113] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 31.096494999714196ms
Info 199  [18:57:26.114] Different program with same set of files
Info 200  [18:57:26.655] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [18:57:26.693] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 37.57242099940777ms
Info 202  [18:57:26.693] Different program with same set of files
Info 203  [18:57:32.467] getCompletionData: Get current token: 0.024723999202251434
Info 204  [18:57:32.468] getCompletionData: Is inside comment: 0.2043569991365075
Info 205  [18:57:32.469] getCompletionData: Get previous token: 0.23823000025004148
Info 206  [18:57:32.469] getCompletionsAtPosition: isCompletionListBlocker: 0.025073999539017677
Info 207  [18:57:32.472] getExportInfoMap: cache hit
Info 208  [18:57:32.496] collectAutoImports: resolved 11 module specifiers, plus 0 ambient and 7 from cache
Info 209  [18:57:32.496] collectAutoImports: response is complete
Info 210  [18:57:32.496] collectAutoImports: 23.250927000306547
Info 211  [18:57:32.496] getCompletionData: Semantic work: 26.732533999718726
Info 212  [18:57:32.511] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.284230999648571
Info 213  [18:57:33.673] Format host information updated
Info 214  [18:57:33.674] Format host information updated
Info 215  [18:57:33.675] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 216  [18:57:33.706] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 31.44908699952066ms
Info 217  [18:57:33.707] Different program with same set of files
Info 218  [18:57:33.707] getCompletionData: Get current token: 0.04113699961453676
Info 219  [18:57:33.707] getCompletionData: Is inside comment: 0.010894999839365482
Info 220  [18:57:33.707] getCompletionData: Get previous token: 0.15204499941319227
Info 221  [18:57:33.708] getCompletionsAtPosition: isCompletionListBlocker: 0.027518000453710556
Info 222  [18:57:33.711] getCompletionData: Semantic work: 2.9541640002280474
Info 223  [18:57:33.716] getCompletionData: Get current token: 0.05531399976462126
Info 224  [18:57:33.716] getCompletionData: Is inside comment: 0.027587000280618668
Info 225  [18:57:33.716] getCompletionData: Get previous token: 0.15546800009906292
Info 226  [18:57:33.717] getCompletionsAtPosition: isCompletionListBlocker: 0.02402499970048666
Info 227  [18:57:33.720] getCompletionData: Semantic work: 2.7807470001280308
Info 228  [18:57:34.568] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 229  [18:57:34.608] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 39.50218900013715ms
Info 230  [18:57:34.608] Different program with same set of files
Info 231  [18:57:35.254] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [18:57:35.289] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 34.22188200056553ms
Info 233  [18:57:35.289] Different program with same set of files
Info 234  [18:57:36.000] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 235  [18:57:36.031] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 29.98982600029558ms
Info 236  [18:57:36.031] Different program with same set of files
Info 237  [18:57:39.870] getCompletionData: Get current token: 0.029054000042378902
Info 238  [18:57:39.871] getCompletionData: Is inside comment: 0.08429899998009205
Info 239  [18:57:39.871] getCompletionData: Get previous token: 0.11104900017380714
Info 240  [18:57:39.872] getCompletionsAtPosition: isCompletionListBlocker: 0.009637999348342419
Info 241  [18:57:39.873] getCompletionData: Semantic work: 1.3670830000191927
Info 242  [18:57:39.875] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.8262219997122884
Info 243  [18:57:45.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [18:57:45.263] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 30.900039999745786ms
Info 245  [18:57:45.263] Different program with same set of files
Info 246  [18:57:46.378] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [18:57:46.409] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 30.713426999747753ms
Info 248  [18:57:46.409] Different program with same set of files
Info 249  [18:57:53.423] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 250  [18:57:53.457] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 32.61524700000882ms
Info 251  [18:57:53.457] Different program with same set of files
Info 252  [18:57:54.728] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [18:57:54.761] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 32.81423000060022ms
Info 254  [18:57:54.762] Different program with same set of files
Info 255  [18:57:55.967] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [18:57:55.995] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 27.884303999133408ms
Info 257  [18:57:55.995] Different program with same set of files
Info 258  [18:58:01.981] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [18:58:02.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 35.501425999216735ms
Info 260  [18:58:02.017] Different program with same set of files
Info 261  [18:58:03.135] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [18:58:03.162] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 26.838306999765337ms
Info 263  [18:58:03.162] Different program with same set of files
Info 264  [18:58:03.635] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [18:58:03.665] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 30.171792999841273ms
Info 266  [18:58:03.666] Different program with same set of files
Info 267  [18:58:30.793] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [18:58:30.848] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 54.199314000084996ms
Info 269  [18:58:30.848] Different program with same set of files
Info 270  [18:58:31.170] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [18:58:31.204] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 33.745558000169694ms
Info 272  [18:58:31.204] Different program with same set of files
Info 273  [18:58:31.204] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [18:58:31.229] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 24.568929000757635ms
Info 275  [18:58:31.229] Different program with same set of files
Info 276  [18:58:31.738] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [18:58:31.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 27.151761999353766ms
Info 278  [18:58:31.766] Different program with same set of files
Info 279  [18:58:33.643] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 280  [18:58:33.672] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 28.84404099918902ms
Info 281  [18:58:33.672] Different program with same set of files
Info 282  [18:58:38.385] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [18:58:38.417] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 31.785667000338435ms
Info 284  [18:58:38.417] Different program with same set of files
Info 285  [18:58:39.018] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 286  [18:58:39.048] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 29.618257000111043ms
Info 287  [18:58:39.049] Different program with same set of files
Info 288  [18:58:39.052] getCompletionData: Get current token: 0.019136999733746052
Info 289  [18:58:39.052] getCompletionData: Is inside comment: 0.07403200026601553
Info 290  [18:58:39.053] getCompletionData: Get previous token: 0.11042100004851818
Info 291  [18:58:39.054] getCompletionsAtPosition: isCompletionListBlocker: 0.37463400047272444
Info 292  [18:58:39.061] getExportInfoMap: cache hit
Info 293  [18:58:39.074] collectAutoImports: resolved 2 module specifiers, plus 1 ambient and 7 from cache
Info 294  [18:58:39.075] collectAutoImports: response is complete
Info 295  [18:58:39.075] collectAutoImports: 12.746478999964893
Info 296  [18:58:39.075] getCompletionData: Semantic work: 20.66700300015509
Info 297  [18:58:39.090] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.584935000166297
Info 298  [18:58:40.036] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 299  [18:58:40.069] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 32.494780000299215ms
Info 300  [18:58:40.069] Different program with same set of files
Info 301  [18:58:40.904] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 302  [18:58:40.939] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 34.45860300026834ms
